"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Arena M.V.N.; Toppa R.H.; Martines M.; Alves-dos-Santos I.","Arena, Mariana V. N. (57203998089); Toppa, Rogério H. (8448553900); Martines, Marcos (57203681274); Alves-dos-Santos, Isabel (6507694688)","57203998089; 8448553900; 57203681274; 6507694688","Release experiments as an indicator of flying activities of stingless bees in urban areas","2023","Frontiers in Sustainable Cities","4","","1103835","","","","1","10.3389/frsc.2022.1103835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146511201&doi=10.3389%2ffrsc.2022.1103835&partnerID=40&md5=c67f592f5a2ddd49d219e2cac0b3c08c","Contemporary urban ecology views cities as heterogeneous and dynamic ecosystems, composed of biotic, physical, social, and man-made systems. In this context, urban beekeeping stands out as a growing practice that demands further studies. Many species of stingless bees (tribe Meliponini) have adapted to urban areas, while others are more sensitive. The composition of the surroundings where the beehive is located is important for the health of the nests and quality of the bee products. This work used bee capture and release techniques to evaluate the use of this methodology for releasing and monitoring native bees in urban areas and to identify whether proportion of green and gray urban nature areas affect the flying activities of stingless bees in an urban landscape. We used nests of Melipona quadrifasciata (mandaçaia), a species of stingless bee native to the Atlantic Rainforest, from three meliponaries located in different parts of the city of São Paulo. The travel time of bees in the landscape were related to the green urban areas up to 900 m in diameter from the meliponaries. Although we did not find a relationship between green areas and bee return times and numbers, it was noticeable that there was variation between the study areas, indicating that the release and monitoring methodology can be used in urban areas following the recommended modifications. Copyright © 2023 Arena, Toppa, Martines and Alves-dos-Santos.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146511201"
"Liu J.; Ma L.; Yang X.; Li B.; Wang X.; Liang W.","Liu, Jianping (57203264465); Ma, Laikun (57201286132); Yang, Xiwen (58507195200); Li, Bin (58508315200); Wang, Xingyu (58506974000); Liang, Wei (55726995700)","57203264465; 57201286132; 58507195200; 58508315200; 58506974000; 55726995700","Eggshell spots are an important cue for the egg retrieval behavior in two tit species","2023","Animal Cognition","26","5","","1697","1703","6","1","10.1007/s10071-023-01814-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165905318&doi=10.1007%2fs10071-023-01814-w&partnerID=40&md5=62b07373c24d9c71d64e2cc9c728f872","It is a common occurrence for incubating female ground- or cavity-nesting birds to accidentally roll their own eggs out of the nest cup. To correctly roll eggs that are not in the nest cup back to the nest, birds must be able to discriminate between their eggs and things around their nests that could be easily confused for their eggs (e.g., egg-shaped stones or other birds’ eggs). Moreover, there may be a strong interaction between egg retrieval and egg rejection behaviors in the context of avian brood parasitism where recognition and rejection of alien eggs is an effective means for hosts to defend against cuckoo parasitism. It has been shown that green-backed tits (Parus monticolus) and Japanese tits (P. minor) in China have strong egg recognition ability and are able to reject nonmimetic eggs in the nest. Eggshell spots play an essential role in the egg rejection behavior of these two tit hosts. This study investigated the egg retrieval behavior of green-backed tits and Japanese tits by adding one experimental egg to the nest corner to explore whether eggshell spots also play a role in the process of egg retrieval. The results revealed significant differences in the retrieval rates of white-rumped munia (Lonchura striata) eggs painted with spots, Japanese tits’ own true eggs, and unpainted, pure white-white-rumped munia eggs. The retrieval rate of white-white-rumped munia eggs was significantly lower than that of spotted white-rumped munia eggs and Japanese tits’ own spotted eggs. For green-backed tits, the retrieval rate of spotted white-rumped munia eggs in the nest corner was significantly higher than that of pure white-white-rumped munia eggs, while the rejection rate of spotted white-rumped munia eggs was significantly lower than that of pure white-white-rumped munia eggs. These findings indicate that eggshell spots play a key role in the egg retrieval of green-backed tits and Japanese tits. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Article","Final","","Scopus","2-s2.0-85165905318"
"Fotooh Abadi L.; Kumar P.; Paknikar K.; Gajbhiye V.; Kulkarni S.","Fotooh Abadi, Leila (59131783700); Kumar, Pramod (37361242200); Paknikar, Kishore (7003833578); Gajbhiye, Virendra (23097244300); Kulkarni, Smita (40461735300)","59131783700; 37361242200; 7003833578; 23097244300; 40461735300","Tenofovir-tethered gold nanoparticles as a novel multifunctional long-acting anti-HIV therapy to overcome deficient drug delivery-: an in vivo proof of concept","2023","Journal of Nanobiotechnology","21","1","19","","","","9","10.1186/s12951-022-01750-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146626467&doi=10.1186%2fs12951-022-01750-w&partnerID=40&md5=7cee3ea179f283e14463b425f7cc6c67","Background: The adoption of Antiretroviral Therapy (ART) substantially extends the life expectancy and quality of HIV-infected patients. Yet, eliminating the latent reservoirs of HIV to achieve a cure remains an unmet need. The advent of nanomedicine has revolutionized the treatment of HIV/AIDS. The present study explores a unique combination of Tenofovir (TNF) with gold nanoparticles (AuNPs) as a potential therapeutic approach to overcome several limitations of the current ART. Results: TNF-tethered AuNPs were successfully synthesized. Cell viability, genotoxicity, haemolysis, and histopathological studies confirmed the complete safety of the preparation. Most importantly, its anti-HIV1 reverse transcriptase activity was ~ 15 folds higher than the native TNF. In addition, it exhibited potent anti-HIV1 protease activity, a much sought-after target in anti-HIV1 therapeutics. Finally, the in vivo biodistribution studies validated that the AuNPs could reach many tissues/organs, serving as a secure nest for HIV and overcoming the problem of deficient drug delivery to HIV reservoirs. Conclusions: We show that the combination of TNF and AuNPs exhibits multifunctional activity, viz. anti-HIV1 and anti-HIV1 protease. These findings are being reported for the first time and highlight the prospects of developing AuNP-TNF as a novel next-generation platform to treat HIV/AIDS. Graphical Abstract: [Figure not available: see fulltext.]. © 2023, The Author(s).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146626467"
"Forester B.R.; Day C.C.; Ruegg K.; Landguth E.L.","Forester, Brenna R. (55766514000); Day, Casey C. (55549339500); Ruegg, Kristen (6602694816); Landguth, Erin L. (35268710300)","55766514000; 55549339500; 6602694816; 35268710300","Evolutionary potential mitigates extinction risk under climate change in the endangered southwestern willow flycatcher","2023","Journal of Heredity","114","4","","341","353","12","3","10.1093/jhered/esac067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163800732&doi=10.1093%2fjhered%2fesac067&partnerID=40&md5=f1b63ca91b378bf59ab70173964bd0e3","The complexity of global anthropogenic change makes forecasting species responses and planning effective conservation actions challenging. Additionally, important components of a species' adaptive capacity, such as evolutionary potential, are often not included in quantitative risk assessments due to lack of data. While genomic proxies for evolutionary potential in at-risk species are increasingly available, they have not yet been included in extinction risk assessments at a species-wide scale. In this study, we used an individual-based, spatially explicit, dynamic eco-evolutionary simulation model to evaluate the extinction risk of an endangered desert songbird, the southwestern willow flycatcher (Empidonax traillii extimus), in response to climate change. Using data from long-term demographic and habitat studies in conjunction with genome-wide ecological genomics research, we parameterized simulations that include 418 sites across the breeding range, genomic data from 225 individuals, and climate change forecasts spanning 3 generalized circulation models and 3 emissions scenarios. We evaluated how evolutionary potential, and the lack of it, impacted population trajectories in response to climate change. We then investigated the compounding impact of drought and warming temperatures on extinction risk through the mechanism of increased nest failure. Finally, we evaluated how rapid action to reverse greenhouse gas emissions would influence population responses and species extinction risk. Our results illustrate the value of incorporating evolutionary, demographic, and dispersal processes in a spatially explicit framework to more comprehensively evaluate the extinction risk of threatened and endangered species and conservation actions to promote their recovery.  © 2023 The Author(s). Published by Oxford University Press on behalf of The American Genetic Association. All rights reserved.","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85163800732"
"Velasco-Trejo J.A.; Gutiérrez E.A.; García-Pérez J.A.; del Rosario Pineda López M.; Estévez N.F.","Velasco-Trejo, Jorge Alejandro (57778558700); Gutiérrez, Enrique Alarcón (56467765800); García-Pérez, José Antonio (55953463000); del Rosario Pineda López, María (15136946300); Estévez, Norma Flores (35435049500)","57778558700; 56467765800; 55953463000; 15136946300; 35435049500","FACTORS AFFECTING THE NITROGEN FIXATION IN THE Inga spp.-RHIZOBIA SYSTEM IN SHADE COFFEE PLANTATIONS; [FACTORES QUE AFECTAN LA FIJACIÓN DE NITRÓGENO EN EL SISTEMA Inga spp. -RIZOBIOS EN CAFETALES DE SOMBRA]","2023","Tropical and Subtropical Agroecosystems","26","1","022","","","","0","10.56369/tsaes.4317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146546605&doi=10.56369%2ftsaes.4317&partnerID=40&md5=d89b87496a58513bae949342ddb72dc6","Background. The results of a review on the factors that affect nitrogen fixation in the Inga-café system are presented. The nitrogen contribution that the Inga Miller tree genus provides to shade coffee plantations and the factors that affect its stability in biological nitrogen fixation are scarcely recognized. This work delves into the ecological factors and glyphosate herbicides that can affect the symbiosis of Inga spp. with diazotrophic bacteria in their roots (rhizobia), which form nodules and carry out biological nitrogen fixation. Methodology. Different information sources such as EBSCO, Scopus and Google Schoolar were reviewed, with logical or Boolean data search. 183 papers were used to address the factors that affect the symbiosis between trees of the Inga genus and rhizobia. The findings were organized in: Inga Miller taxonomy, shade coffee plantations with Inga spp., symbiosis between Inga spp. and Bradyrhizobium spp., ecological factors that affect the functioning of the Inga spp.-rhizobia symbiosis and the agrochemical factor: glyphosate herbicide. Results. The genus Inga is recognized as a clade Mimosoideae nested in the subfamily Caesalpinioideae. Shade coffee plantations with Inga are established below 23ºN and 30ºS, up to 3,100 m.a.s.l. and the symbiont genus is predominantly Bradyrhizobium spp. whose ecological limits of Inga spp-rhizobia were: altitude [988.7-1,381.5 m.a.s.l.], annual precipitation [2,048.4-2,064.36 mm], temperature [20.39-21.93 ºC] and soil pH [4.88-5.42 pH]. Glyphosated herbicides, as an external stimulus, can reduce the benefit of biological nitrogen fixation and erode the soil by keeping it devoid of vegetation. Additionally, some Bradyrhizobium spp. (thiO gene), which oxidizes glyphosate to aminomethylphosphonic acid (AMPA), could be a potential glyphosate degrader in the soil. Implications. Shade coffee plantations with 205-250 trees per hectare of Inga spp. allow fixing around 45 kg of N ha-1 year-1. This review may allow the adoption of new observational or experimental studies of the Inga spp.-rhizobia symbiosis, to approach the performance that favors the biological fixation of nitrogen in shade coffee plantations. Conclusions. The review indicates that there is a specific association between Inga spp. and Bradyrhizobium spp., that ecological factors, including the agronomic management with glyphosated herbicides can decrease nitrogen fixation performance during the symbiosis between Inga spp. and rhizobia. No systematic studies of the symbiosis-environment-agrochemical interaction in shade coffee plantations were found. Copyright © the authors.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146546605"
"Scott-Baumann J.F.; Morgan E.R.; Cogan T.A.","Scott-Baumann, James F. (57640485900); Morgan, Eric R. (8985738700); Cogan, Tristan A. (7004049999)","57640485900; 8985738700; 7004049999","Effects of nest-box environment on fledgling success rate and pathogen load","2022","Parasitology","149","9","","1186","1192","6","1","10.1017/S0031182022000695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130519336&doi=10.1017%2fS0031182022000695&partnerID=40&md5=c769fdb652b5aee2187e3f1a14d65f4f","Nest boxes have been used for many decades as tools for conservation and to study avian population dynamics. Plastic is increasingly used as a material for nest boxes, but no studies have investigated effects of this different material. Two consecutive studies were conducted to investigate effects of nest-box environment on nidicolous parasites, bacteria and fungi, as well as nest success, in blue tits Cyanistes caeruleus and great tits Parus major. The first compared microclimate and parasite and pathogen load in plastic and wooden nest boxes. The second tested the nest protection hypothesis-that birds naturally incorporate aromatic herbs into nests to decrease nest parasites and pathogens-by comparing parasite and pathogen load in plastic nest boxes to which aromatic or non-aromatic plant material was added. No significant difference in nest-box temperature or relative humidity was found between plastic and wooden boxes. Wooden boxes, however, contained 30-fold higher numbers of fleas and a higher total bacterial load on chicks. Fledging success for blue tit broods was significantly higher in wooden boxes. Parasites and bacteria did not decrease by the inclusion of aromatic herbs. The results increase the evidence base for nest-box design in support of plastic, which can provide an appropriate alternative nest-box material to wood, with apparently no difference in microclimate and no increase in the load of measured parasites and pathogens.  Copyright © The Author(s), 2022. Published by Cambridge University Press.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85130519336"
"Höfle U.; Cardona Cabrera T.; Sánchez-Cano A.; Fernández de Mera I.G.; Risalde M.A.; Moraga-Fernández A.; Ortiz J.A.","Höfle, Ursula (6602192141); Cardona Cabrera, Teresa (57809250500); Sánchez-Cano, Alberto (57384265800); Fernández de Mera, Isabel G. (57218242242); Risalde, María A. (26534965200); Moraga-Fernández, Alberto (57209259760); Ortiz, José Antonio (58796903700)","6602192141; 57809250500; 57384265800; 57218242242; 26534965200; 57209259760; 58796903700","Bagaza virus and Plasmodium spp. coinfection in red-legged partridges (Alectoris rufa), in Southern Spain 2019","2022","Transboundary and Emerging Diseases","69","5","","e3393","e3399","6","6","10.1111/tbed.14658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134362631&doi=10.1111%2ftbed.14658&partnerID=40&md5=ed636a6763c5f67b1f2bb565ff64eea5","Flaviviruses such as West Nile (WNV), Usutu (USUV) and Bagaza (BAGV) virus and avian malaria parasites are vector borne pathogens that circulate naturally between avian and mosquito hosts. WNV and USUV and potentially also BAGV constitute zoonoses. Temporal and spatial cocirculation and coinfection with Plasmodium spp., and West Nile virus has been documented in birds and mosquito vectors, and fatally USUV-infected passerines coinfected with Plasmodium spp. had more severe lesions. Also, WNV, USUV and BAGV have been found to cocirculate. Yet little is known about the interaction of BAGV and malaria parasites during consecutive or coinfections of avian hosts. Here we report mortality of free-living red-legged partridges in a hunting estate in Southern Spain that were coinfected with BAGV and Plasmodium spp. The outbreak occurred in the area where BAGV first emerged in Europe in 2010 and where cocirculation of BAGV, USUV and WNV was confirmed in 2011 and 2013. Partridges were found dead in early October 2019. Birds had mottled locally pale pectoral muscles, enlarged, congestive greenish-black tinged livers and enlarged kidneys. Microscopically congestion and predominantly mononuclear inflammatory infiltrates were evident and Plasmodium phanerozoites were present in the liver, spleen, kidneys, muscle and skin. Molecular testing and sequencing detected Plasmodium spp. and BAGV in different tissues of the partridges, and immunohistochemistry confirmed the presence and colocalization of both pathogens in the liver and spleen. Due to the importance of the red-legged partridge in the ecosystem of the Iberian Peninsula and as driver of regional economy such mortalities are of concern. Such outbreaks may reflect climate change related shifts in host, vector and pathogen ecology and interactions that could emerge similarly for other pathogens. © 2022 The Authors. Transboundary and Emerging Diseases published by Wiley-VCH GmbH.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85134362631"
"Diehl J.N.; Alton L.A.; White C.R.; Peters A.","Diehl, Jenna N. (57974937700); Alton, Lesley A. (17134156600); White, Craig R. (7404153052); Peters, Anne (7402105560)","57974937700; 17134156600; 7404153052; 7402105560","Thermoregulatory strategies of songbird nestlings reveal limited capacity for cooling and high risk of dehydration","2023","Journal of Thermal Biology","117","","103707","","","","1","10.1016/j.jtherbio.2023.103707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173549862&doi=10.1016%2fj.jtherbio.2023.103707&partnerID=40&md5=bd65dd144dc4ad63a35e042043ff0dad","[No abstract available]","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173549862"
"Lacroux C.; Pouydebat E.; Rossignol M.; Durand S.; Aleeje A.; Asalu E.; Chandre F.; Krief S.","Lacroux, Camille (57208108573); Pouydebat, Emmanuelle (8626402200); Rossignol, Marie (24577160800); Durand, Sophie (57903022100); Aleeje, Alfred (57604934200); Asalu, Edward (57340137600); Chandre, Fabrice (7003813950); Krief, Sabrina (8731693700)","57208108573; 8626402200; 24577160800; 57903022100; 57604934200; 57340137600; 7003813950; 8731693700","Repellent activity against Anopheles gambiae of the leaves of nesting trees in the Sebitoli chimpanzee community of Kibale National Park, Uganda","2022","Malaria Journal","21","1","271","","","","4","10.1186/s12936-022-04291-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138621459&doi=10.1186%2fs12936-022-04291-7&partnerID=40&md5=1f683c3b1d0900229a6e3894a2dde0c3","Background: Every evening, chimpanzees (Pan troglodytes) build a sleeping platform so called “nest” by intertwining branches of tree. Most of chimpanzees’ communities studied have a preference for tree species in which they nest. As female mosquitoes are feeding on the blood of their host at nighttime, chimpanzees may prevent being disturbed and bitten by mosquitoes by selecting tree species having properties to repel them. Methods: To test the hypothesis that chimpanzees choose tree species for their aromatic properties, data related to 1,081 nesting trees built between 2017 and 2019 in the Sebitoli community of Kibale National Park (Uganda) were analysed. The 10 most used trees were compared to the 10 most common trees in the habitat that were not preferred for nesting. Leaves from the 20 trees species were collected and hydro-distillated to obtain essential oils and one of the by-products for behavioural bioassays against females of the African mosquito, Anopheles gambiae. Results: Sebitoli chimpanzees showed tree preferences: 10 species correspond to more than 80% of the nesting trees. Out of the essential oil obtained from the 10 nesting trees, 7 extracts for at least one concentration tested showed spatial repellency, 7 were irritant by contact and none were toxic. In the other hand, for the abundant trees in their habitat not used by chimpanzees, only 3 were repellent and 5 irritants. Discussion and conclusion: This study contributes to evidence that chimpanzees, to avoid annoying mosquitoes, may select their nesting trees according to their repellent properties (linked to chemical parameters), a potential inspiration for human health. © 2022, The Author(s).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85138621459"
"Gao B.; Zhang C.; Dong R.; Chen Y.; Zhang S.","Gao, Bingbing (57222001535); Zhang, Congyun (56843818700); Dong, Ran (58567147900); Chen, Yukun (8704299100); Zhang, Shuidong (16680110900)","57222001535; 56843818700; 58567147900; 8704299100; 16680110900","Facile fabrication of reusable starch sponge with adjustable crosslinked networks for efficient nest-trap and in situ photodegrade methylene blue","2023","Carbohydrate Polymers","322","","121342","","","","4","10.1016/j.carbpol.2023.121342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170222728&doi=10.1016%2fj.carbpol.2023.121342&partnerID=40&md5=f5f5f93a86fbe3e3a5f77ef9610aaeab","The fabrication of reusable natural polysaccharide sponges with nanoscale dispersed photocatalysts to achieve robust photocatalytic efficiency is desirable yet challenging. Herein, inspired by the nesting behavior when fishing, we designed reusable starch sponge with chemically anchored nano-ZnO into carboxylated starch matrix by thermoplastic interfacial reactions and solvent replacement for absorbing and photodegrading methylene blue (MB) in situ. The plasticization and interfacial reactions promoted a simultaneous increase in the reactivity of the starch hydroxyl/carboxyl groups and the specific surface area of ZnO. Meanwhile, the crosslinked networks of starch sponge could be adjusted by varying the ZnO and carboxylic groups contents. The results of photodegradation experiments revealed the recyclable closed-loop process of attraction-trapping-photodegradation of MB was successfully realized, achieving the effect of killing three birds with one stone. The reusable starch sponge with homogeneous dispersion of nano-ZnO by constructing three-dimensional porous channels possessed the high enrichment capacity and the remarkable photocatalysis efficiency with 150 mg/L ZnO. Under UV irradiation, the starch sponge degraded 97 % of MB with 1.67 × 10−3 min−1 photodegradation rate constant even after five cycles, which exceeded most existing photocatalytic systems. Overall, the reusable starch sponge with adjustable structure provided new insights for multifunctional bio-based photocatalyst loading systems. © 2023","Article","Final","","Scopus","2-s2.0-85170222728"
"Maniglier M.; Vidal M.; Bachelin C.; Deboux C.; Chazot J.; Garcia-Diaz B.; Baron-Van Evercooren A.","Maniglier, Madlyne (56049872500); Vidal, Marie (33568469600); Bachelin, Corinne (6506649355); Deboux, Cyrille (25629296800); Chazot, Jérémy (57957466100); Garcia-Diaz, Beatriz (56061542600); Baron-Van Evercooren, Anne (10540583900)","56049872500; 33568469600; 6506649355; 25629296800; 57957466100; 56061542600; 10540583900","Satellite glia of the adult dorsal root ganglia harbor stem cells that yield glia under physiological conditions and neurons in response to injury","2022","Stem Cell Reports","17","11","","2467","2483","16","6","10.1016/j.stemcr.2022.10.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141475926&doi=10.1016%2fj.stemcr.2022.10.002&partnerID=40&md5=f79403997bb49b53671efe8123eb6145","The presence of putative stem/progenitor cells has been suggested in adult peripheral nervous system (PNS) tissue, including the dorsal root ganglion (DRG). To date, their identification and fate in pathophysiological conditions have not been addressed. Combining multiple in vitro and in vivo approaches, we identified the presence of stem cells in the adult DRG satellite glial population, and progenitors were present in the DRGs and sciatic nerve. Cell-specific transgenic mouse lines highlighted the proliferative potential of DRG stem cells and progenitors in vitro. DRG stem cells had gliogenic and neurogenic potentials, whereas progenitors were essentially gliogenic. Lineage tracing showed that, under physiological conditions, adult DRG stem cells maintained DRG homeostasis by supplying satellite glia. Under pathological conditions, adult DRG stem cells replaced DRG neurons lost to injury in addition of renewing the satellite glial pool. These novel findings open new avenues for development of therapeutic strategies targeting DRG stem cells for PNS disorders. © 2022","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85141475926"
"Lane C.; Zhu J.-X.","Lane, Christopher (57192956338); Zhu, Jian-Xin (55508216700)","57192956338; 55508216700","Identifying topological superconductivity in two-dimensional transition-metal dichalcogenides","2022","Physical Review Materials","6","9","094001","","","","6","10.1103/PhysRevMaterials.6.094001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138453154&doi=10.1103%2fPhysRevMaterials.6.094001&partnerID=40&md5=287e6ecc89b09468b9dd2473f9b5bf5b","We study the superconducting pairing instabilities and gap functions for prototypical two-dimensional (2D) transition-metal dichalcogenides (TMDCs) WS2, MoTe2, and MoS2 in the 2H phase under both hole and electron doping at 10 K. Our first-principles quantum many-body Green's function approach allows us to treat the full d and p manifold of orbitals with strong spin-orbit coupling, yielding pairing predictions with material-specific detail. The resulting gap functions exhibit a variety of mixed-parity superconducting states, including s, p, d, f, d±id, and p±ip pairing modes. In particular, we predict 3% and 4% hole-doped WS2 to be a chiral p±ip topological superconductor. For 1% hole-doped MoS2, we find a competition between three doubly degenerate chiral and nonchiral instabilities. Overall, the relative pairing strengths are found to follow the Fermi-surface topology, due to nesting between the Fermi-surface sheets. Finally, we discuss our predictions in relation to available experimental data and classify the topology of the predicted superconducting pairing symmetries.  © 2022 American Physical Society.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85138453154"
"Martín-Vélez V.; Montalvo T.; Afán I.; Sánchez-Márquez A.; Aymí R.; Figuerola J.; Lovas-Kiss Á.; Navarro J.","Martín-Vélez, Víctor (57194723095); Montalvo, Tomás (52063638900); Afán, Isabel (55418930400); Sánchez-Márquez, Antoni (57219418131); Aymí, Raül (6505995153); Figuerola, Jordi (7004073252); Lovas-Kiss, Ádám (55800781500); Navarro, Joan (15835212200)","57194723095; 52063638900; 55418930400; 57219418131; 6505995153; 7004073252; 55800781500; 15835212200","Gulls living in cities as overlooked seed dispersers within and outside urban environments","2022","Science of the Total Environment","823","","153535","","","","15","10.1016/j.scitotenv.2022.153535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124405323&doi=10.1016%2fj.scitotenv.2022.153535&partnerID=40&md5=02a35323a2d8901ad3dbaa40aaccbc41","The yellow-legged gull is an opportunistic and generalist bird that has colonised urban areas, where it has found very favourable trophic resources but also causes disturbance to humans and damage to infrastructure. Here, we investigated the potential role that gulls play in the dispersal of plants in Barcelona, a highly populated city of north-eastern Spain. We analysed the stomach contents of 145 chicks collected in urban nests and reported the presence of seeds of 27 plant taxa. We then developed a plant dispersal model based on the movements of 20 GPS-tracked yellow-legged gulls breeding in the city of Barcelona. We estimated seed dispersal distances, seed shadows and percentage of seeds reaching habitats suitable for seeds regurgitated in pellets and those excreted in faeces. Seven of the 27 plant taxa found in the stomachs were alien taxa to Spain. Average dispersal distances of plant seeds by gulls were around 700 m, but maximum dispersal distances reached up to 35 km. Dispersal distances and seed spatial patterns did not differ between faeces and pellet models, as most strongly depended on gull movements. About 95% of the seeds were dispersed within urban environments and between 20 and 30% reached suitable habitats for seed deposition (urban woodlands, green urban parks and urban grasslands). Urban gulls frequently dispersed seeds (including alien species) within urban habitats, both via direct consumption or via secondary dispersal after consuming granivorous birds that had ingested the seeds, such as pigeons or parakeets. Urban planning for Barcelona is based on native plant species, and thus, special attention should be paid to alien plants dispersed by birds, which could pose a risk to native biodiversity in urban ecosystems. © 2022 The Authors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85124405323"
"Ge Y.; Yang J.; Chen J.; Dai M.; Dou X.; Yao S.; Yao C.; Lin Y.","Ge, Yangyang (57218509928); Yang, Juexi (58044537600); Chen, Jiayi (57189363105); Dai, Maosha (57556253500); Dou, Xiaoke (57555876500); Yao, Shanglong (7402472375); Yao, Chenye (55843054200); Lin, Yun (55455904100)","57218509928; 58044537600; 57189363105; 57556253500; 57555876500; 7402472375; 55843054200; 55455904100","Absence in CX3CR1 receptor signaling promotes post-ischemic stroke cognitive function recovery through suppressed microglial pyroptosis in mice","2024","CNS Neuroscience and Therapeutics","30","2","e14551","","","","2","10.1111/cns.14551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184441073&doi=10.1111%2fcns.14551&partnerID=40&md5=9b17262ca15e7382c50dd26cc866c5e6","Background: Post-stroke cognitive impairment (PSCI) is a major source of morbidity and mortality after stroke, but the pathological mechanisms remain unclear. Previous studies have demonstrated that the CX3CR1 receptor plays a crucial role in maintaining an early protective microenvironment after stroke, but whether it persistently influences cognitive dysfunction in the chronic phase requires further investigation. Methods: Mouse was used to establish a middle cerebral artery occlusion (MCAO)/reperfusion model to study PSCI. Cognitive function was assessed by the Morris water maze (MWM) and the novel object recognition test. Neurogenesis was assessed by immunofluorescence staining with Nestin+/Ki67+ and DCX+/BrdU+ double-positive cells. The cerebral damage was monitored by [18F]-DPA-714 positron emission tomography, Nissel, and TTC staining. The pyroptosis was histologically, biochemically, and electron microscopically examined. Results: Upon MCAO, at 28 to 35 days, CX3CR1 knockout (CX3CR1−/−) mice had better cognitive behavioral performance both in MWM and novel object recognition test than their CX3CR1+/− counterparts. Upon MCAO, at 7 days, CX3CR1−/− mice increased the numbers of Nestin+/Ki67+ and DCX+/BrdU+ cells, and meanwhile it decreased the protein expression of GSDMD, NLRP3 inflammasome subunit, caspase-1, mature IL-1β/IL-18, and p-P65 in the hippocampus as compared with CX3CR1+/− mice. In addition, CX3CR1−/− mice could reverse infarct volume in the hippocampus region post-stroke. Conclusion: Our study demonstrated that CX3CR1 gene deletion was beneficial to PSCI recovery. The mechanism might lie in inhibited pyroptosis and enhanced neurogenesis. CX3CR1 receptor may serve as a therapeutic target for improving the PSCI. © 2023 The Authors. CNS Neuroscience & Therapeutics published by John Wiley & Sons Ltd.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85184441073"
